,Strain,Tob,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
113,CH5262,0.0,113,51.19687457418816,-46.22415316707409,-5.5953863121467,-4.219359757796064,26.551769288411972,-1.494684138660027
114,CH5267,0.0,114,-8.051935467753195,-35.039293360857826,6.333223623141586,-0.837728773293791,-35.08304268835326,-24.82758196221701
115,CH5291,0.0,115,15.34144581481767,-30.484952925748622,-2.336184105641252,-3.214890059572121,14.302559636481856,-5.266362698289676
116,CH5334,0.0,116,-32.983025640412976,-22.505127870021802,7.17803624827067,-2.854610885525683,-39.693797052127294,-15.276936940869195
117,CH5353,0.0,117,-35.22885270637898,-4.305356055641072,-5.646511725803595,-4.085828908924871,21.614952770390676,1.358973204185716
118,CH5356,1.0,118,5.31773443571949,15.963763667934483,-4.187436464720535,1.7522973980950223,24.45920705922089,8.21054849739265
119,CH5362,0.0,119,-1.2216677588018041,-12.152235131455692,-5.186095397283844,-4.110284189477431,21.70452795954885,-0.5110217847952967
120,CH5363,0.0,120,86.7671398724524,31.501216472008498,-4.744943634535781,-4.291356578161212,26.72237340939883,-1.0399138579207161
121,CH5387,0.0,121,12.825228427207009,-23.95368971838234,-2.745818979161371,-5.575331754597987,3.5789622225010227,-21.00517410703783
123,CH5462,0.0,123,-8.463594981516579,4.44209977811757,1.7668039076159994,-7.067064238200018,-31.21598524067395,-27.165694628884562
124,CH5464,1.0,124,-31.529765530513078,-20.50161844724088,22.304654586983716,4.634695292170994,-65.89878260477442,33.06844356760879
125,CH5478,0.0,125,18.527129089819695,-6.121743084379099,-3.689609492688235,-0.3652975558008329,22.959855583198543,-2.7429724293532445
126,CH5528,0.0,126,-1.495638769811987,-26.903741746743858,2.950625376059379,-6.182484441348768,-31.3368800063403,-17.434196497425233
127,CH5531,0.0,127,-16.735906854356198,-32.47675551724353,-4.740909067819051,-2.7411278184604155,26.031168914208937,-6.807997268146117
128,CH5548,0.0,128,30.99440600125928,15.608005231655344,-5.05947207802956,-4.1647670232342335,17.633588602661927,5.9496828359025145
129,CH5550,0.0,129,37.6465760758637,-21.2728881445181,-5.215514501794074,-2.1714096281087576,23.785004970364948,-6.079329608558055
130,CH5551,1.0,130,20.09768487629098,-36.64219827530484,-3.7778340863602997,-1.1412091705638225,18.48304987854255,15.2480544298692
131,CH5591,1.0,131,45.11803043359589,37.072752350438705,3.29117459160092,-6.556641810655153,-35.7440903579032,-23.481421575802862
132,CH5596,0.0,132,-22.806711461511995,-27.42881905186629,3.146374901405192,-6.085138191641903,-29.752622990681605,-28.89832582803004
