,Strain,Cip,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
179,ESP063,1.0,179,6.974238553194263,-12.253517372623984,-6.350775088486626,24.000203216287158,29.345973215376837,14.185965289957373
180,ESP064,1.0,180,-7.011210420903207,-35.620609107320305,-4.803221758462701,4.148643861686754,20.58403618064606,26.23492460950225
181,ESP066,1.0,181,-71.87845840098404,29.225899029687064,-5.634653240156303,22.976356962792384,29.23372122353578,14.560329235890492
182,ESP067,0.0,182,-114.10731507005252,-2.007149583132699,-6.625890553145151,-2.8195404514098756,27.020546540985784,-5.4096366884881775
183,ESP068,1.0,183,-126.60890913751723,46.67727367549327,17.340895427386844,0.3258339685745586,-58.26849760663823,19.97938035686976
184,ESP069,1.0,184,-107.40875517465113,33.48180999227066,-4.994679235707292,4.547133860997665,20.84531439687776,25.51627620467051
185,ESP070,1.0,185,-75.88517146690907,-0.058046904175627335,5.673432518343828,-0.15502494861151206,-31.41020251094217,-27.11713783186632
186,ESP071,1.0,186,-79.18939416586312,-19.36538846640587,-6.199681900201268,23.762643647022667,29.334179469284436,12.900153744894055
187,ESP072,0.0,187,-90.31703917104285,11.383683907280385,-5.743864051013233,-6.27103952553982,25.462949532213166,-8.341728317777644
188,ESP073,1.0,188,-91.60605282982526,-6.943912382703028,-5.7579302509847015,-6.15585384415259,26.407757864084473,-10.240234523056216
189,ESP074,1.0,189,-97.22685688892541,0.21348609931377613,-6.026803898199045,23.463117028559196,29.28512312199998,13.277980495910768
190,ESP075,1.0,190,-49.64594931255441,-13.21659375594055,0.4116499512174885,-8.575017079367395,-27.61402164691933,-26.442831357525495
191,ESP076,0.0,191,-33.2757167997541,30.687707667851306,0.3977423543473617,-8.73557356381304,-27.083572608865484,-27.113781222790827
192,ESP077,0.0,192,4.6587740220443905,-7.440680229639453,-2.85356428967796,-6.059232132241478,-15.332031159607451,-24.201757220090787
193,ESP078,1.0,193,-14.913553375817072,25.388569514577803,-4.895799052472469,4.239623497721363,20.60588747876168,23.488025333113505
194,ESP079,1.0,194,-45.24505026379657,20.276607576094353,-6.121288825937447,23.793411749037066,29.43782454394171,14.699141116655511
196,ESP082,1.0,196,-67.96535866136341,26.131506056267202,-6.130020429962185,23.998051617653548,29.499258102881157,13.556886525567656
197,ESP083,1.0,197,-45.618778571589424,20.636087723872862,-6.1801804556427395,23.66144325100927,29.684360110803468,14.60455221106929
198,ESP084,1.0,198,-64.30416139013023,25.174759374324093,-4.948141889093889,4.318585389159425,20.21348871657397,26.553593410489547
199,ESP088,1.0,199,-50.98255721395955,17.169812290987785,-6.247518177673594,23.362380601291996,29.214086448920085,13.151151464960058
200,ESP091,1.0,200,-28.049458852984717,19.218318959924673,17.198234803542682,-0.097302287295296,-57.651765212429254,18.439385132459115
201,F1659,1.0,201,54.71218094045301,39.69274284700673,2.5351495279606775,-1.2007302472311485,-28.324499928268576,-28.138695616109903
202,F1688,1.0,202,16.570707627654038,-11.992575926116226,-6.190166782237455,-5.461162554865191,28.49433396811451,-10.63008089330038
203,F1689,1.0,203,-3.738257505328188,-37.39360722876785,-6.197193351926619,-5.670303459809387,28.364221671501802,-10.472027953129057
204,F1697,1.0,204,-0.2988329192153322,25.85926203362021,20.350896993397342,3.2068225879281336,-61.603899599713834,25.553268980603313
206,F1712,1.0,206,-25.850753707728387,-5.812400456366876,-5.870346184818499,22.212627929207308,29.8261148663397,14.927494642992563
207,F1724,1.0,207,-21.185876704577893,12.251271776979701,20.67697156691304,3.363365404302577,-62.87541716151037,27.473922189545895
208,F1727,0.0,208,45.922450115916384,5.614828640391657,-5.800402239812189,-3.7121879664069377,28.916069462721516,-8.494394594792794
209,F1741,1.0,209,-26.649083596731483,22.444968133477907,20.23938535043095,3.3478134583783437,-63.3060438463525,28.534704393426217
210,F1745,1.0,210,-36.462041232102116,5.952758449088984,-5.028406043241963,20.900920636434055,29.692828748225956,12.53008616333888
211,F1746,1.0,211,-55.56151618717752,42.069652761073506,20.398448807716857,3.1734117708049094,-62.72467223669926,27.575409662141944
212,F1747,1.0,212,63.93636854065573,28.32044897681624,20.85829913452744,3.3437950943685504,-62.860357114201605,27.365151319125097
213,F1748,1.0,213,43.69489981633262,9.388539972537753,-7.763824828540098,-3.4307436424132423,33.41648452973293,-8.856513826602331
214,F1752,1.0,214,36.83661752035576,0.013936298860803959,-4.086782740543098,-2.582130312921281,15.215846752025136,21.45112612225413
215,F1754,1.0,215,12.589490242086901,38.12869188716411,4.558224368049412,-6.687580713731808,-37.45571238391225,-18.034906605034212
