,Strain,Cef,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
182,ESP067,0.0,182,-191.25729466214034,10.588287248795059,-17.757609103352667,-7.399668751157346,-89.7093959293813,-56.57862065865172
183,ESP068,1.0,183,-181.57453700385176,-88.58604828703987,71.87512559904091,0.7843554648465516,270.05110607763135,-85.75421366570184
184,ESP069,1.0,184,-178.34696323551876,-79.12996328079049,-29.606915978623274,-20.296245422967896,-101.42290111790601,83.3681067557023
185,ESP070,1.0,185,-161.2605747848839,-0.3755326363678065,36.279178782556976,3.3787083124282704,206.50693294634138,94.16581509056168
186,ESP071,0.0,186,-155.60741866216347,29.082038622211225,-49.91682276040287,-11.57655818933918,-143.17778315838234,50.23967217385188
187,ESP072,1.0,187,-172.2358483642193,-47.84394977137982,-15.072793815324276,1.0209354426912158,-163.73226661242984,-81.13354922538929
188,ESP073,1.0,188,-175.0796557568442,22.382055467077507,-15.091972022682558,2.0006261839467134,-163.31374210144742,-82.19844266118666
189,ESP074,1.0,189,-177.07696159366253,-7.3587518554077045,-49.07120132677744,-11.674361107210547,-143.21074186718297,49.60244509879165
191,ESP076,1.0,191,-77.39792363419917,-68.01076202131861,-5.791608773768114,25.5467716241484,182.54264294246707,-10.380460133013269
192,ESP077,1.0,192,15.935105815329456,68.07725722595848,-25.14008832739157,12.226857675969926,180.4888705451588,-12.264725937551725
193,ESP078,1.0,193,-51.74745089335789,-55.53561119947676,-29.443019954886108,-20.309971827241174,-103.73259074003636,76.68179594318967
199,ESP088,1.0,199,-104.6017099563759,-59.69852366859337,-49.63081630100302,-11.822630307836445,-138.07328698279903,57.46920199515407
200,ESP091,0.0,200,-52.430659155890424,-83.86570158917951,72.22241164613236,-0.06184494515393606,270.3891873600848,-82.78357229572791
201,F1659,0.0,201,80.4246882366956,-100.53755573601569,19.351851600846395,10.67541749876953,153.77693923792555,96.97092233671485
202,F1688,1.0,202,42.561457052084805,25.781987551595595,1.023699053489742,-12.19959447266825,-114.08330567733766,-81.71837271093943
203,F1689,1.0,203,14.904607297728585,54.490668449351155,0.912111085525212,-12.11173179074223,-85.08775786248064,-73.55745613186502
204,F1697,1.0,204,-18.7241857081387,-81.16481937297247,77.6039378646615,-0.9759144870032151,276.8913747958556,-87.21452584391962
205,F1706,1.0,205,-22.096115082441724,31.322036048370666,-20.589297600890415,-9.66124374273471,-163.254876129719,-69.48657352967726
206,F1712,1.0,206,-66.59897315113197,6.363431050450323,-48.12353376538636,-10.998443150703098,-135.94955118402763,68.10655608663608
207,F1724,1.0,207,-44.32040855913631,-49.976434570860896,82.38815770152819,-10.577543235600592,275.7682771190667,-90.68488440649824
208,F1727,1.0,208,96.13636440064803,-14.044551385401313,-18.130301375249882,-12.538019018034703,-158.5987821008661,-94.7358630461259
209,F1741,1.0,209,-57.18833257246374,-79.03141245460962,77.19179582719431,-0.5494874964850159,312.6637959684662,-99.10497066854794
210,F1745,1.0,210,-81.93349229359406,0.8072540298710214,-49.442326880915566,-11.382567949623294,-137.50676760501307,67.37259830537492
