,Strain,Cip,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
79,CH4560,1.0,79,1.1325380575128858,15.262398138144123,91.81944539708505,8.061295416717252,301.3616008971469,65.34815540261604
80,CH4584,1.0,80,-68.98558002063767,-55.40178082739706,-15.824319594091358,-6.676404202216865,-137.1347389144848,-13.691509044316122
82,CH4602,0.0,82,126.40722098418465,-62.00404676091387,96.8890079716752,22.436903264330816,344.95769902448245,28.38814511610589
83,CH4634,1.0,83,155.39751761416346,40.12585139053336,22.841597949825758,19.47899256564106,172.07396693702583,-4.332925998726137
84,CH4681,0.0,84,168.34469915650232,-34.25243487604778,-18.891882227385775,-11.116913332691622,-87.52152585889893,-77.58967560782914
85,CH4684,0.0,85,97.14005662442462,-9.475514976704158,-17.779403774986253,-10.946384067461512,-26.013332858985045,-31.736387536048163
87,CH4704,0.0,87,57.65909991078391,-73.18325264521503,-18.44117600708866,-11.370337118822155,-132.324590669133,19.656992080854767
88,CH4733,0.0,88,81.96372187538918,13.262955032544005,-18.339704470675606,-8.957251005646322,-131.29422210824436,97.45873724314752
89,CH4745,1.0,89,-17.0128665861316,-45.33571108934142,93.35043637675365,-6.448041554409987,337.48332779478415,23.967708427755817
90,CH4755,1.0,90,-72.86246396089564,-76.59746199292809,-19.311129374408964,-10.851346736531358,-135.06188120726705,52.57060069642598
91,CH4757,0.0,91,10.57534877793794,-81.73568341055179,-0.0004704874268197444,-32.75628842497863,134.2727860674823,-122.5510042302421
93,CH4780,1.0,93,-45.719328867709415,-20.99536006556115,-15.660919070219858,-6.2829388406513775,-174.4792313663124,-66.25173792277342
94,CH4785,1.0,94,-34.02916066201467,-65.35413733977587,-33.45105040591494,34.41023443580152,-162.40661632349523,-7.2476920056468
95,CH4840,0.0,95,0.5911291790283427,-100.49743951100255,-14.22683091672723,-7.958935021771239,-131.2829208290444,59.50045337386584
96,CH4860,1.0,96,-15.187599773794945,-71.29301821017039,-20.659738572499865,-12.226637147860135,-142.48981950659606,80.98506776998
97,CH4862,1.0,97,-55.25501987997571,15.529801218761111,-14.142313268147843,-6.2797224309585316,152.11234211143065,59.42764738107588
98,CH4877,1.0,98,-61.08323563679612,-25.40219343750738,12.825434263810987,3.3891679426659382,252.39956667005654,-63.54514354990197
99,CH4878,0.0,99,-81.50201194621071,-87.30834960701071,-22.77388442274337,7.955951144520068,-164.43791263583577,-100.13928879273008
