,Strain,Tob,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
109,CH5174,1.0,109,-97.59363311645329,27.440636764554238,100.61103610418462,15.962160857644658,283.6341288387727,-10.378681872690906
110,CH5182,0.0,110,5.895570658143407,-59.9469540730784,-7.932228204865497,-3.1457551813744966,-85.92050297475936,44.42624620655886
111,CH5193,1.0,111,47.39015785051536,74.57395290601902,110.83652212424788,7.177446363345748,354.5220223184578,-70.91137975507966
112,CH5206,0.0,112,81.56726541397306,95.786945972785,-9.908883480639107,-4.868679586426882,-0.053673325468001375,68.1095279425242
113,CH5262,0.0,113,79.5227134735402,-108.90606185675426,-9.955474435709979,-6.188044639216344,-109.04169151081118,15.747151962028472
114,CH5267,0.0,114,-9.38066075275752,-82.4169368817955,42.167985312113046,-14.982418348176202,179.7071495464839,3.5708734903176897
115,CH5291,0.0,115,41.93920988787936,-74.33236624556773,-2.074489596367684,-22.732037085534092,-163.61778823965454,62.4494198810535
116,CH5334,0.0,116,-57.91420633373778,-47.82266525269113,40.182018152416425,11.948421349909866,226.51913824108075,149.1041858391579
117,CH5353,0.0,117,-73.18795587716242,-14.962115645093093,-13.13949777123201,7.3387584637304695,-95.52538582644449,-0.1731683534201916
118,CH5356,1.0,118,-2.1038719445719094,60.78783259056537,-19.133980988236303,12.762848597646848,-129.19087686453602,-78.81637296597924
119,CH5362,0.0,119,-15.78351207522567,-38.66071376779087,-11.932631645651671,-4.553751993696838,-102.78136229790417,58.77383720465257
120,CH5363,0.0,120,145.63587831269342,76.62116406537695,-16.454915502022818,10.802987662089137,-159.57023860421728,119.63898288060055
121,CH5387,0.0,121,36.826410257865135,-65.42687558523494,-12.175878267310551,-4.544416270594854,12.76001307273113,98.79608347485916
123,CH5462,0.0,123,-24.490363043307916,36.21658006482263,-2.5671876772652524,-6.878804598626424,193.9126746629919,65.9269944721331
124,CH5464,1.0,124,-52.735796808588404,-10.571025297468704,110.87836601825549,7.141582004385309,358.5441544607346,-71.54799070738225
125,CH5478,0.0,125,39.27116565745687,-32.51570137873759,-17.640743082729113,6.72512661131898,-140.58935104827725,27.968203206878545
126,CH5528,0.0,126,-4.077405502704186,-69.18540755861912,0.5514373860338712,7.102444839297854,137.99342613059335,-55.47395713190069
127,CH5531,0.0,127,-24.134432684109886,-82.01797816318933,-15.284295317161089,6.424581965891083,-161.68407272714376,55.95826163041361
128,CH5548,0.0,128,56.773770746386774,16.4512336507143,-13.328924609095042,7.785166927847604,-109.49125622389423,-0.19647475005202958
129,CH5550,0.0,129,59.6831863921147,-34.21877870493802,-17.302059514911136,-5.8763184950434795,-85.35155422622591,45.72832614262364
130,CH5551,1.0,130,61.44703056538993,-83.17298212219112,-22.427393556960364,-8.665456058875348,-162.31290639734834,63.08519908266761
131,CH5591,1.0,131,79.41762513609791,94.69927276531378,21.600585270232397,7.212729680368373,203.11420841451255,56.31345596917919
132,CH5596,0.0,132,-32.500810027450754,-70.95479853853556,14.719198705735689,-6.078812421320749,186.65564718027457,85.65839067451999
133,CH5597,0.0,133,12.090976721763093,-88.81304899352095,-24.41109438530042,-6.778962468972958,-115.26116156895593,18.045310953687977
134,CH5621,0.0,134,2.45746383455231,-89.3466004105143,-11.177354053227072,-7.538397139358872,-164.96279808659625,73.33149063689636
135,CH5638,0.0,135,-29.584095224592463,-62.82822077635604,-17.95567282884539,10.952045732930314,-45.974178967084505,-94.73348970221132
136,CH5666,1.0,136,-41.01833915745868,37.09676187688047,110.41216524521919,7.0831765197371785,339.87280940263906,-32.17968999555977
137,CH5688,1.0,137,98.27025103967034,24.50631219561726,93.54329015806523,-9.66976391600913,312.02795158926966,-77.43995971546833
138,CH5695,1.0,138,59.62576640577672,-24.62334213001062,111.05818486002619,7.059214180179983,312.7521840474828,-79.25711971545607
139,ESP002,0.0,139,-75.03435563988879,88.50681356368457,5.7811649569204295,-6.088208890370133,182.96827251175438,175.4024940717108
140,ESP003,0.0,140,141.1751525150276,81.66428116913238,3.218671343405686,-8.654188228846996,153.34339990381372,139.30215948376025
141,ESP004,1.0,141,-97.67447691715908,33.67986496956456,-3.0767327085564973,-9.161642557208053,153.68099662038375,139.90975433537992
142,ESP006,1.0,142,-56.145714143823824,-0.03861266101740973,-17.058289720250876,11.025307087010962,-170.22404030325725,-2.7240392690594604
143,ESP009,0.0,143,-53.36244618844925,-1.4402889292636407,-16.98306312818289,8.786899441181514,-132.49781292073564,2.4363711502311673
144,ESP011,0.0,144,110.37995910463361,122.97953646797669,-29.629043774548563,9.133788369340124,-41.43862769940578,-122.36164029688946
145,ESP012,1.0,145,-68.76120272654023,24.321310495220292,-10.821679403447407,0.33431701252187884,-33.76982183558969,18.013053622427815
146,ESP013,1.0,146,-94.33289564623199,-8.8656738478676,-13.950724548525947,9.450203696714594,-34.021780355342585,-2.1977791900984522
147,ESP015,0.0,147,-66.29801273457443,36.42463482554746,5.712517295404188,-6.620042842883004,173.1614994453439,123.13040754500209
148,ESP020,0.0,148,42.47701219372156,36.618350057026916,43.26198384012433,-7.675452227786197,241.6372078513424,-38.93365588200944
149,ESP021,0.0,149,-16.948544663982048,-108.47834335385834,6.151954737524227,6.527196291627054,151.771696882312,127.68853207446965
150,ESP022,0.0,150,71.12193550009845,99.14037899748634,-31.861971357490244,-4.429473070195233,-125.11730069637281,68.73137669065393
151,ESP023,0.0,151,-16.187875492802654,-77.56746172729008,-8.138583695520317,-5.68680122659815,-44.481368939437886,-10.659690782229465
