,Strain,Mer,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
150,ESP022,0.0,150,76.66081661476859,97.93292138189182,-17.46417865970068,-15.277444118385167,-152.30300570973498,-69.69191158871676
151,ESP023,1.0,151,6.769697626065682,-75.28965659845979,-14.625440851016153,4.814982632723827,-50.065752782286715,-12.702349639962852
152,ESP024,0.0,152,-46.89983356301332,-41.23481931801607,-22.621305374870794,5.539942312672538,-49.945413012100126,108.69246489222363
153,ESP025,1.0,153,25.660925924907563,-14.852120106479923,-19.719741413525835,-11.511870588643523,-147.08983420311722,2.891044303427358
154,ESP027,0.0,154,5.797834623216752,-67.51698832618005,-20.07731650547775,-4.498492586635178,-115.9967746063968,-30.2957725641415
155,ESP028,0.0,155,-4.484569929834422,-86.00355233379538,9.521273535900285,3.4727933594035503,232.82433571100063,118.00046571236223
156,ESP029,0.0,156,-26.66006914808369,107.99355097349117,-18.11354007437798,-0.8330775297838292,-156.94602628024793,-108.36298891409827
157,ESP031,0.0,157,9.89496668739766,69.14032049282238,-19.348237930238998,-3.3226852465950474,46.84989586079565,82.49126938478013
158,ESP032,0.0,158,-58.673795762489824,85.6756216814656,6.224118299537893,9.570733932713525,-114.4816836681994,-49.52661803365256
159,ESP033,0.0,159,-34.04332347018746,19.59678807239974,8.407078821270561,2.3700520856823206,185.6973953315049,-30.53024661772108
160,ESP034,0.0,160,-11.34100712353819,-13.35258421701889,5.155442220417558,5.927655600260075,-58.75471135124925,-93.01535883381098
161,ESP035,0.0,161,-24.49565328875122,-32.567711621725095,-3.3224631191950538,2.7839618797321135,-69.35059343389791,-93.33565001128878
162,ESP036,0.0,162,-14.104381282698382,-32.91043793550772,-16.16755257267095,-8.04902718457505,-121.2375311479704,-22.271705543805215
163,ESP037,0.0,163,-68.42092063130686,-16.88610075460905,-9.345232625487778,-13.741834229549724,219.06719745143536,114.22410196939325
164,ESP038,0.0,164,171.28069838924466,66.9560790667555,-18.865877054839842,9.439257472774468,-51.488529497285874,13.360166665673738
165,ESP039,0.0,165,187.16351153227075,98.55376292553287,-13.551084683914493,-9.849147076579115,-50.557861903733674,24.488886671743177
166,ESP040,0.0,166,163.76171858890908,115.87183490762146,-13.546265372707659,-9.80829434253675,-52.49785750180131,32.17384830693712
167,ESP043,0.0,167,139.8730695803259,99.30280005877873,-46.91713235945667,52.404658776703535,-174.81774236171032,96.28118748375961
169,ESP046,0.0,169,-20.52661813044169,-23.576334992757165,7.129311880165611,-7.336282182373894,180.15591662864563,-34.83323118085802
171,ESP050,0.0,171,26.26693557291087,-58.95139011059169,-1.7792738855858543,-9.08837367536829,185.59356683176316,-30.166321886865944
172,ESP053,1.0,172,-52.84590856721345,101.61923646281663,86.74558366706225,8.127616984802662,223.5933273081434,-35.8516369552261
173,ESP055,1.0,173,18.312405313740538,-79.09011768261183,-18.874354648404857,1.1408889840362402,-171.1780767368484,-32.7334472005446
175,ESP058,0.0,175,23.73661787894009,-67.65057014425122,-18.24057821443956,-20.01404308913875,-194.85005197158227,-32.11504670029734
176,ESP059,1.0,176,4.354758162234967,-67.87555445927578,-21.642583659409198,9.983352402198445,-142.03459425026216,0.6726888059852962
177,ESP060,1.0,177,-59.50601943473105,-42.255363794084495,-26.82323851280319,2.4534805123951067,-109.13383829621185,99.84431856343294
178,ESP061,1.0,178,79.76506168837783,99.87561474472476,-49.64949186091472,60.0308873013596,-131.73058478311813,101.20262923205661
179,ESP063,1.0,179,16.66390574621107,-29.650627469083506,-50.690046496725664,60.97629472703817,-131.68740704337142,101.04851155307284
180,ESP064,1.0,180,-4.942451417431093,-88.87225127594122,-32.383622447292154,15.431729443625159,-106.88563320778276,104.56472664283116
182,ESP067,1.0,182,-188.1060278065064,-11.218847232989665,-21.003202722374567,7.42177867353475,-86.60436266411182,-66.59921812730312
183,ESP068,1.0,183,-183.5772233713714,104.52986460506689,69.21068195064593,15.27852576190761,271.5841560710854,-45.90083747481703
184,ESP069,1.0,184,-176.1543133788308,97.96662955913034,-33.23090712493344,13.884221324927422,-107.13779025246778,104.09763093335309
